"Export of 100 tweets for claritin since:2018-03-17 until:2018-03-24 over a period of 1 day"
" "
"-- OVERVIEW DATA --"
"Total tweets",Timeframe,Reach,Impressions,"Total retweets","Total favourites","Total replies"
100,"1 day","2,264,139","4,853,968",13,148,22
" "
"-- SUMMARY DATA --"
"Tweet type",frequency,,Sentiment,frequency,,Language,frequency,,"Top contributors",frequency,,"Top influencers",frequency,,"Top words",frequency,,"Top hashtags",frequency,,"Top mentions",frequency,,"Top domains",frequency,,"Top urls",frequency,,"Top sources",frequency,,"Top profile countries",frequency,,"Top profile locations",frequency,,"Top geo countries",frequency,,"Top geo locations",frequency
"Plain tweets",75,,Great,14,,English,68,,innovuspharma,6,,socialstartnow,1021310,,claritin,51,,#ラクチンボイス,30,,@goppollanalyst,2,,goo.gl,34,,bit.ly/2FUPl6Z,9,,iPhone,43,,,,,"San Diego, CA",8,,"United States",4,,"Phoenix, AZ",1
Retweets,3,,Good,9,,日本語,31,,esunohito,3,,socialstocksnow,982042,,クラリチン♪,29,,#claritin,14,,@chxngona,1,,bit.ly,9,,goo.gl/AsJ6vc,2,,Android,19,,,,,USA,3,,,,,"Mississippi, USA",1
Replies,22,,Neutral,59,,"español, castellano",1,,socialstocksnow,2,,innovuspharma,116891,,fluticare,12,,#flonase,13,,@ihatemorgz,1,,twitter.com,3,,goo.gl/MQVYSA,1,,Web/Desktop,18,,,,,ウコンの羽織になりたい。,3,,,,,"Georgia, USA",1
Mentions,28,,Bad,12,,,,,maminoru18,2,,RandallGoulding,51477,,allergies,11,,#sneezing,12,,@thepussyologist,1,,tmog.uspto.gov,1,,goo.gl/o9PCq3,1,,"Sprout Social",12,,,,,"Los Angeles",2,,,,,"Eugene, OR",1
Pictures,15,,Terrible,6,,,,,MartinRedmonddd,2,,ihateMORGZ,30850,,$innv,11,,#allergyrelief,12,,@lexforchange,1,,,,,goo.gl/hhpvpJ,1,,TweetDeck,2,,,,,"I LOVE広島県!!",2,,,,,,
Videos,4,,,,,,,,socialstartnow,2,,FlutiCareOTC,10688,,take,7,,#respiratory,12,,@zaythesensei,1,,,,,twitter.com/desmulan/statu…,1,,iPad,2,,,,,"Playing in (the Information Highway's Virtual) Traffic",2,,,,,,
Links,47,,,,,,,,__AliyahB,2,,LaetansX,6915,,like,6,,#nose,12,,@xbad2_thebonezx,1,,,,,goo.gl/3SxEgj,1,,Tweetlogix,1,,,,,Brian@socialstartnow.com,2,,,,,,
Verified,1,,,,,,,,loveclaudiab,1,,RitaWirtz,6773,,try,6,,#allegra,12,,@sheriwr33361424,1,,,,,goo.gl/Wf6Bux,1,,"ツイタマ for Android",1,,,,,"sage &amp; wezi",1,,,,,,
Geolocated,0,,,,,,,,SFOGuard,1,,MissAmaLea,3966,,need,6,,#nasal,12,,@ghostie_dragons,1,,,,,goo.gl/hZKRGX,1,,Facebook,1,,,,,NY,1,,,,,,
,,,,,,,,,Iookjb,1,,jasonpwoodbury,3078,,get,6,,#symptoms,12,,@baileyjarrett5,1,,,,,goo.gl/RhRH4i,1,,"please retweet my tweets",1,,,,,諏訪部さんとのシンクロ率高過ぎで驚き,1,,,,,,
,,,,,,,,,tsutu2,1,,TimberlakeLaw,2783,,took,5,,#relief,12,,@tigershah26,1,,,,,goo.gl/2BoNN1,1,,,,,,,,"Houston, TX",1,,,,,,
,,,,,,,,,R214xoxoMellow2,1,,nikkisworldxxx,1893,,buy,5,,#zyrtec,11,,@vimtobaba,1,,,,,goo.gl/anRPqc,1,,,,,,,,まんなかあたり,1,,,,,,
,,,,,,,,,bad_garrett,1,,fantasy_camp,1773,,flonase,4,,#fluticare,11,,@xain_hs,1,,,,,twitter.com/steadycraig/st…,1,,,,,,,,"St. Louis, Mo",1,,,,,,
,,,,,,,,,mican_moon,1,,_JBadge_,1703,,few,4,,#thankmelater,1,,@kevinlferguson,1,,,,,goo.gl/ihrXm1,1,,,,,,,,"chasing destini™",1,,,,,,
,,,,,,,,,nikkisworldxxx,1,,turnotori,1699,,give,4,,#pollen,1,,@vivaladivatracy,1,,,,,goo.gl/rW9mek,1,,,,,,,,"Phoenix, AZ",1,,,,,,
,,,,,,,,,heybaldie,1,,isikdg,1556,,allergy,4,,#fml,1,,@bfolsom18,1,,,,,goo.gl/hLk6ZH,1,,,,,,,,下総の国,1,,,,,,
,,,,,,,,,yukiusapon,1,,sanjuniperos,1545,,save,4,,#whyyyyyme,1,,@lovemeloyalty19,1,,,,,goo.gl/ooG1qV,1,,,,,,,,フォローの前にツイフィール↓ご覧下さい,1,,,,,,
,,,,,,,,,jenjames923,1,,Iookjb,1204,,work,4,,#officiallymyhero,1,,@bennythejet55,1,,,,,goo.gl/a7EbCA,1,,,,,,,,wherethegrassingreener.,1,,,,,,
,,,,,,,,,desmulan,1,,Ishfromda5th,1201,,spring,4,,#goawaypollen,1,,@spidergweb,1,,,,,goo.gl/yaL1gS,1,,,,,,,,"Groznyj Grad",1,,,,,,
,,,,,,,,,baklavamammi,1,,__AliyahB,1011,,morning,3,,#leakyeyes,1,,@derrickjosi,1,,,,,goo.gl/TsvU7b,1,,,,,,,,"Miami, Florida, United States",1,,,,,,
,,,,,,,,,StephenDelear,1,,geekly_sneaks,987,,pill,3,,#stuffednose,1,,@jecashsymbol2x,1,,,,,goo.gl/Bz464m,1,,,,,,,,"PHX, the Grand Canyon State",1,,,,,,
,,,,,,,,,MissAmaLea,1,,_peaceoff30,935,,air,3,,#distinctiveness,1,,@blithevelour,1,,,,,goo.gl/brkGjV,1,,,,,,,,"Las Vegas, NV",1,,,,,,
,,,,,,,,,rei_kamihate,1,,itumogdgd,923,,dying,3,,#trademarks,1,,@simpsonsbracket,1,,,,,goo.gl/TnX1Q1,1,,,,,,,,"tkaronto, turtle island",1,,,,,,
,,,,,,,,,raaelexi,1,,R214xoxoMellow2,798,,taking,3,,#allergies,1,,@steviejukejoint,1,,,,,goo.gl/7P3H46,1,,,,,,,,"a happy house xotwod",1,,,,,,
,,,,,,,,,miiihs_ara113,1,,landraaaa,781,,i’m,3,,,,,@claritin,1,,,,,goo.gl/oYtPMv,1,,,,,,,,"Savage, MN",1,,,,,,
,,,,,,,,,BlkOnBothSides,1,,maminoru18,770,,already,3,,,,,@morningexp,1,,,,,twitter.com/cjacks98/statu…,1,,,,,,,,"North Chicago, IL/ Washington",1,,,,,,
,,,,,,,,,LauraLeaWatson1,1,,7717love,764,,it’s,3,,,,,@bobvandillen,1,,,,,goo.gl/M9zbR6,1,,,,,,,,愛知県,1,,,,,,
,,,,,,,,,GingeraleDragon,1,,esunohito,626,,more,3,,,,,,,,,,,goo.gl/dWKUuK,1,,,,,,,,"Where would u like me to be?",1,,,,,,
,,,,,,,,,realelijahrose,1,,crives1,599,,even,3,,,,,,,,,,,goo.gl/3GS2sG,1,,,,,,,,"Los Angeles, CA",1,,,,,,
,,,,,,,,,jasonpwoodbury,1,,jackoraptor,433,,though,3,,,,,,,,,,,goo.gl/N7Lijz,1,,,,,,,,918,1,,,,,,
,,,,,,,,,_peaceoff30,1,,tsutu2,386,,works,3,,,,,,,,,,,goo.gl/PExYkt,1,,,,,,,,"Indianapolis, IN",1,,,,,,
,,,,,,,,,tigerbano,1,,sakuragishun,381,,after,3,,,,,,,,,,,goo.gl/9sneNp,1,,,,,,,,あんすた沼,1,,,,,,
,,,,,,,,,BellysConsuela,1,,takutakubeee103,355,,any,3,,,,,,,,,,,goo.gl/P6QpGJ,1,,,,,,,,STL,1,,,,,,
,,,,,,,,,lostinjennifer,1,,renta55,341,,sprays,3,,,,,,,,,,,goo.gl/drWhHU,1,,,,,,,,"Univ of Mississippi",1,,,,,,
,,,,,,,,,RandallGoulding,1,,corndoglover100,337,,well,3,,,,,,,,,,,goo.gl/t79jsZ,1,,,,,,,,"running or watching baseball",1,,,,,,
,,,,,,,,,youM68,1,,daicolog,321,,come,3,,,,,,,,,,,goo.gl/8hLYjL,1,,,,,,,,"GODAWGS ❤️",1,,,,,,
,,,,,,,,,CWFrancis72,1,,Mi2c00000,271,,really,3,,,,,,,,,,,tmog.uspto.gov/#issueDate=201…,1,,,,,,,,"Montgomery, AL",1,,,,,,
,,,,,,,,,jackoraptor,1,,miiihs_ara113,271,,want,3,,,,,,,,,,,goo.gl/WjvYkL,1,,,,,,,,マジLOVEキングダム,1,,,,,,
,,,,,,,,,redbarron77,1,,diabolik0128,251,,season,3,,,,,,,,,,,,,,,,,,,,"Wilkes-Barre, PA",1,,,,,,
,,,,,,,,,athenahollow,1,,katybazarsky,230,,seasonal,3,,,,,,,,,,,,,,,,,,,,"Michigan, USA",1,,,,,,
" "
"-- TWEET DATA --"
"Created At","Screen Name",Handle,Tweet,Links,"Tweet Type",Language,Sentiment,Retweets,Favourites,Followers,Friends,Reach,"Retweet Rate (Tweets Per Minute)",Engagements,"Engagement Rate (% of Followers)",Source,Domain,URL,"Tweet Link","Pic Link","Retweeting User","Retweeting Handle","Profile Location","Country (Profile)","Location (Geo)","Country (Geo)","Tweet ID"
"Fri Mar 23 17:07:54 +0000 2018","pinky but a wolf @ BLFC ",LaetansX,"me: so what Claritin would I need for a decongestant?pharmacist: well, between Claritin and Claritin-D, you’re gonna want the latter; you definitely want the D.me: pic.twitter.com/hlHDoIQkNO",https://twitter.com/LaetansX/status/977230469266792448/photo/1,"Regular Tweet",en,1,0,25,6915,859,6915,0,25,0.36,iPhone,,,"https://twitter.com/pinky but a wolf @ BLFC /status/977230469266792448",https://pbs.twimg.com/profile_images/964168260039012352/AwRgEltF_normal.jpg,,,,"San Diego, CA",,,977230469266792448
"Fri Mar 23 17:02:14 +0000 2018","•Claudia ",loveclaudiab,"@bfolsom18 Take some Claritin .",,Reply,en,0,0,1,1646,367,1,0,1,0.06,iPhone,,,"https://twitter.com/•Claudia /status/977229044189224963",https://pbs.twimg.com/profile_images/964390109633167360/QfWpRt5E_normal.jpg,,,,"running or watching baseball ",,,977229044189224963
"Fri Mar 23 16:58:06 +0000 2018","Innovus Pharma ",innovuspharma,"$INNV Do your kids suffer from allergies? It can be tough when the sniffles come on. Try FlutiCare safe for children and proven to work! bit.ly/2FUPl6Z  #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/39S8uqhbSc","http://bit.ly/2FUPl6Z Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/innovuspharma/status/977228004257615873/video/1","Regular Tweet",en,2,0,0,116891,30412,116891,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/Innovus Pharma /status/977228004257615873",https://pbs.twimg.com/profile_images/968497000764395520/jrxreOdM_normal.jpg,,,,"San Diego, CA",,,977228004257615873
"Fri Mar 23 16:57:49 +0000 2018","JAMela Mann ",_SpaceshipCoupe,"I tweet for the people that can’t drive with the windows down in the spring unless they took a Claritin",,Retweet,en,-2,4,30,1180,1107,987,0.0014,34,2.88,iPhone,,,"https://twitter.com/JAMela Mann /status/977227933239660545",https://pbs.twimg.com/profile_images/973059380433231872/QJcaEJK7_normal.jpg,"Jayda Lauryn 🌻",geekly_sneaks,,"GODAWGS ❤️",,,977227933239660545
"Fri Mar 23 16:46:08 +0000 2018","Florida man ",Ishfromda5th,"My Claritin&gt;99% of you hoes",,"Regular Tweet",en,0,0,0,1201,562,1201,0,0,0,iPhone,,,"https://twitter.com/Florida man /status/977224992466391040",https://pbs.twimg.com/profile_images/972590909224255488/YTqiCeFz_normal.jpg,,,,,"Georgia, USA","United States",977224992466391040
"Fri Mar 23 16:37:18 +0000 2018","JOY🧚🏾‍♀️🥀 ",love_joy26,"@Lovemeloyalty19 Claritin",,Reply,en,0,0,0,38,94,1,0,0,0,iPhone,,,"https://twitter.com/JOY🧚🏾‍♀️🥀 /status/977222769313271808",https://pbs.twimg.com/profile_images/962196065532436480/dmcLkJ6H_normal.jpg,,,,"Montgomery, AL",,,977222769313271808
"Fri Mar 23 16:32:07 +0000 2018","まゆか太郎 ",yuuuukq,"お前、浮気してねーだろうな？他の鼻炎薬に…。お前を本気で心配するような奴なんていないんだからな。俺以外に…。花粉ラクチン クラリチン♪ goo.gl/yaL1gS #ラクチンボイス","https://goo.gl/yaL1gS Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,138,454,138,0,0,0,iPhone,"goo.gl ","goo.gl/yaL1gS ","https://twitter.com/まゆか太郎 /status/977221464330878977",https://pbs.twimg.com/profile_images/893773331895205890/ctwUjIHM_normal.jpg,,,,マジLOVEキングダム,,,977221464330878977
"Fri Mar 23 16:10:11 +0000 2018","jonah ",fantasy_camp,"i'm allergic to cats and i live with one and i always wake up all f'd up anyone got any tips? i already take claritin",,"Regular Tweet",en,2,1,20,1773,541,1773,0,21,1.18,iPhone,,,"https://twitter.com/jonah /status/977215942127124481",https://pbs.twimg.com/profile_images/968530411696599040/_EaOaSik_normal.jpg,,,,"Wilkes-Barre, PA",,,977215942127124481
"Fri Mar 23 16:03:17 +0000 2018","Maegan Ashley ",MaeganAshleyxxo,"Went back to get checked out, still have bronchitis, antibiotic Z-pack, a steriod inhaler, regular inhaler, cough meds, Claritin, and benedryl... #FML #WhyyyyyMe","Twitter analytics for #FML Twitter analytics for #WhyyyyyMe","Regular Tweet",en,0,0,0,155,198,155,0,0,0,iPhone,,,"https://twitter.com/Maegan Ashley /status/977214205836386304",https://pbs.twimg.com/profile_images/802281225545273344/Nr4oRtTF_normal.jpg,,,,"Michigan, USA",,,977214205836386304
"Fri Mar 23 15:52:40 +0000 2018","Slartibartfast ",shtoopy,"@bennythejet55 @spidergweb Then I'll send a palette of Claritin with the kitten.",,Reply,en,-1,0,1,158,224,1,0,1,0.63,Android,,,"https://twitter.com/Slartibartfast /status/977211536828637184",https://pbs.twimg.com/profile_images/973456075964891137/2SXfSh8D_normal.jpg,,,,"Los Angeles",,,977211536828637184
"Fri Mar 23 15:39:46 +0000 2018","Rita Wirtz ",RitaWirtz,"Spring Twitter poll, Claritin or Zyrtec?🎈",,"Regular Tweet",en,0,0,0,6773,6224,6773,0,0,0,iPhone,,,"https://twitter.com/Rita Wirtz /status/977208288507908096",https://pbs.twimg.com/profile_images/511895099886690304/yzmwjcMe_normal.png,,,,"Eugene, OR","Eugene, OR","United States",977208288507908096
"Fri Mar 23 15:35:34 +0000 2018","Christabelle Leah ",CbellesimonLeah,"@DerrickJosi It just means seasonal allergies started in February. Nothing like popping Claritin while watching it snow.",,Reply,en,0,0,1,523,631,1,0,1,0.19,Android,,,"https://twitter.com/Christabelle Leah /status/977207233174913029",https://pbs.twimg.com/profile_images/967460330229018624/B88kO5XI_normal.jpg,,,,"Central Oregon, USA",,,977207233174913029
"Fri Mar 23 15:29:53 +0000 2018","みかど@25日さんたく夜の部 ",takutakubeee103,"OD錠ってどういう意味かわかりますか？口腔内崩壊錠のことです。そう、貴女の口の中で、私が崩壊していく…。花粉ラクチン クラリチン♪ goo.gl/MQVYSA #ラクチンボイス","https://goo.gl/MQVYSA Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,355,478,355,0,0,0,Web/Desktop,"goo.gl ","goo.gl/MQVYSA ","https://twitter.com/みかど@25日さんたく夜の部 /status/977205802061590528",https://pbs.twimg.com/profile_images/975767259409870848/_VMqSgTG_normal.jpg,,,,秋のよながにいきてます,,,977205802061590528
"Fri Mar 23 15:29:42 +0000 2018","れんたろ@シロクマ審神者 ",renta55,"おや？花粉で声がかすれてますね。水なしでも飲める私がそばにいるのにもかかわらず…。先生、悲しい…。花粉ラクチン クラリチン♪ goo.gl/Bz464m #ラクチンボイス","https://goo.gl/Bz464m Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,341,713,341,0,0,0,Android,"goo.gl ","goo.gl/Bz464m ","https://twitter.com/れんたろ@シロクマ審神者 /status/977205756163383296",https://pbs.twimg.com/profile_images/968575007696629760/VtI5dfBo_normal.jpg,,,,ship4の本丸だったりカルデア,,,977205756163383296
"Fri Mar 23 15:28:11 +0000 2018","Martin Redmond ",MartinRedmonddd,"@GOPPollAnalyst I don't even need Claritin anymore either. It resolved itself after a few seasons of using it.",,Reply,en,0,0,0,474,1309,1,0,0,0,Web/Desktop,,,"https://twitter.com/Martin Redmond /status/977205373395456001",https://pbs.twimg.com/profile_images/3737813578/8272ddb1641b20e24a5495601bb3e336_normal.png,,,,"Playing in (the Information Highway's Virtual) Traffic",,,977205373395456001
"Fri Mar 23 15:27:31 +0000 2018","Martin Redmond ",MartinRedmonddd,"@GOPPollAnalyst Try Claritin, seriously. Sudafed etc none of it worked until I took Claritin. No more allergies now.",,Reply,en,1,0,0,474,1309,1,0,0,0,Web/Desktop,,,"https://twitter.com/Martin Redmond /status/977205205736574976",https://pbs.twimg.com/profile_images/3737813578/8272ddb1641b20e24a5495601bb3e336_normal.png,,,,"Playing in (the Information Highway's Virtual) Traffic",,,977205205736574976
"Fri Mar 23 15:26:07 +0000 2018","FlutiCare® ",FlutiCareOTC,"$INNV Looking to save money on your next Flonase purchase? Check out how FlutiCare compares! bit.ly/2FUPl6Z #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/OPX2OblWlF","http://bit.ly/2FUPl6Z Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/FlutiCareOTC/status/977204854337757184/video/1","Regular Tweet",en,0,0,0,10688,4544,10688,0,0,0,"Sprout Social","bit.ly ","bit.ly/2FUPl6Z ","https://twitter.com/FlutiCare® /status/977204854337757184",https://pbs.twimg.com/profile_images/971506187928666112/7_pKsWa2_normal.jpg,,,,"San Diego, CA",,,977204854337757184
"Fri Mar 23 15:16:21 +0000 2018","yuri ",yuria1028,"え、去年もお会いしたことある？人違いですよ。なぜなら、私は今年誕生したばかりのジュンイチンOD錠ですから。水なしで口の中で溶けるんですよ。花粉ラクチン クラリチン♪ goo.gl/brkGjV #ラクチンボイス 去年も今年もイケボすぎる💓💓💓","https://goo.gl/brkGjV Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,36,80,36,0,0,0,Android,"goo.gl ","goo.gl/brkGjV ","https://twitter.com/yuri /status/977202397977108480",https://pbs.twimg.com/profile_images/951058957170130944/ZBlA_vcs_normal.jpg,,,,東京,,,977202397977108480
"Fri Mar 23 15:16:19 +0000 2018","rntr ",turnotori,"なんだか辛そうな顔してるね。えっ、今日はクラリチン飲み忘れて、１日、僕のことが頭から離れなかった？それって頼りにされてるってことかな？嬉しいな。大好きだよ。花粉ラクチン クラリチン♪ goo.gl/TnX1Q1 #ラクチンボイス","https://goo.gl/TnX1Q1 Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,1,1699,220,1699,0,1,0.06,Android,"goo.gl ","goo.gl/TnX1Q1 ","https://twitter.com/rntr /status/977202385960370178",https://pbs.twimg.com/profile_images/976433108814782464/4mbRoWUv_normal.jpg,,,,きくろ,,,977202385960370178
"Fri Mar 23 15:12:45 +0000 2018","もちむん🙈@アレス待機 ",itumogdgd,"おい、大丈夫か？しっかりしろ！鼻が詰まって呼吸ができてない！？今、俺が人工呼吸してやるから。お、気がついたか。ったく、次からはちゃんとこれ飲めよな。花粉ラクチン クラリチン♪ goo.gl/7P3H46 #ラクチンボイス  クッソwww","https://goo.gl/7P3H46 Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,923,1629,923,0,0,0,Web/Desktop,"goo.gl ","goo.gl/7P3H46 ","https://twitter.com/もちむん🙈@アレス待機 /status/977201489700507648",https://pbs.twimg.com/profile_images/973757939528876033/y2EcZ_AW_normal.png,,,,,,,977201489700507648
"Fri Mar 23 15:05:23 +0000 2018","えり ",momohappyichi,"素直に言ってくれませんか…。先生が欲しいって。今日、花粉ひどいですからね。花粉ラクチン クラリチン♪ goo.gl/oYtPMv #ラクチンボイスoh…(昇天)","https://goo.gl/oYtPMv Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,139,254,139,0,0,0,iPhone,"goo.gl ","goo.gl/oYtPMv ","https://twitter.com/えり /status/977199638435385344",https://pbs.twimg.com/profile_images/964373556548136960/prjyjAys_normal.jpg,,,,,,,977199638435385344
"Fri Mar 23 14:57:37 +0000 2018","Kyra Foster ",KyraFoster10,"I just tried Claritin &amp; it saved my life twitter.com/cjacks98/statu…",https://twitter.com/cjacks98/status/977197299251236864,"Regular Tweet",en,0,0,3,192,229,192,0,3,1.56,iPhone,"twitter.com ","twitter.com/cjacks98/statu… ","https://twitter.com/Kyra Foster /status/977197680345735179",https://pbs.twimg.com/profile_images/976787471630553088/7ZVGv-fO_normal.jpg,,,,"College Station, TX",,,977197680345735179
"Fri Mar 23 14:51:16 +0000 2018","櫻木峻侑 ",sakuragishun,"そんな顔してどうしたんですか？花粉で外に出るのが不安なんですか？貴女には、もう、私がいるのをお忘れなく。花粉ラクチン クラリチン♪ goo.gl/AsJ6vc #ラクチンボイスクラリチン～！","https://goo.gl/AsJ6vc Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,381,469,381,0,0,0,Web/Desktop,"goo.gl ","goo.gl/AsJ6vc ","https://twitter.com/櫻木峻侑 /status/977196082189840384",https://pbs.twimg.com/profile_images/948165923596201985/B1G0wRUz_normal.jpg,,,,岐阜県,,,977196082189840384
"Fri Mar 23 14:45:13 +0000 2018","Social Start Now ",socialstartnow,"$INNV Interested in saving money on your next nasal spray? Save $2 on FlutiCare and get free shipping! goo.gl/dWKUuK #fluticare #flonase #zyrtec #AllergyRelief #Respiratory #claritin #allegra #nasal #symptoms #relief #sneezing #nose pic.twitter.com/o9Fo2de2bs","https://goo.gl/dWKUuK Twitter analytics for #fluticare Twitter analytics for #flonase Twitter analytics for #zyrtec Twitter analytics for #AllergyRelief Twitter analytics for #Respiratory Twitter analytics for #claritin Twitter analytics for #allegra Twitter analytics for #nasal Twitter analytics for #sneezing Twitter analytics for #nose https://twitter.com/socialstartnow/status/977194562807582721/photo/1","Regular Tweet",en,2,0,0,1021310,244174,1021310,0,0,0,"Sprout Social","goo.gl ","goo.gl/dWKUuK ","https://twitter.com/Social Start Now /status/977194562807582721",https://pbs.twimg.com/profile_images/852839090173001728/A8Ym33cs_normal.jpg,,,,Brian@socialstartnow.com,,,977194562807582721
"Fri Mar 23 14:39:45 +0000 2018","ハナダイロ ",irobeyou,"ねぇいいでしょ？マスク、全部捨てて。ダメ？僕がいるんだから、いいよね？って冗談だよ。大好きだよ。花粉ラクチン クラリチン♪ goo.gl/3GS2sG #ラクチンボイスヤンデr・・・","https://goo.gl/3GS2sG Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,122,293,122,0,0,0,iPhone,"goo.gl ","goo.gl/3GS2sG ","https://twitter.com/ハナダイロ /status/977193187088375809",https://pbs.twimg.com/profile_images/884921489601855488/PnJkvOaO_normal.png,,,,徳島,,,977193187088375809
"Fri Mar 23 14:35:56 +0000 2018","さのじ ",esunohito,"花粉症で寝不足？貴女は授業、全然聞いてなかったみたいですね！クラリチンは眠くなりにくいと何回言わせれば気がすむんですか！はい。クラリチン。花粉ラクチン クラリチン♪ goo.gl/N7Lijz #ラクチンボイス","https://goo.gl/N7Lijz Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,1,626,213,626,0,1,0.16,Web/Desktop,"goo.gl ","goo.gl/N7Lijz ","https://twitter.com/さのじ /status/977192224965328896",https://pbs.twimg.com/profile_images/798382944188387332/2VKnT_EF_normal.png,,,,ウコンの羽織になりたい。,,,977192224965328896
"Fri Mar 23 14:35:33 +0000 2018","さのじ ",esunohito,"昨日、怖い夢を見たんだ。この世から花粉がなくなって、僕が必要なくなって、大好きな君に、捨てられる夢…。今日はずっと一緒にいてくれる？花粉ラクチン クラリチン♪ goo.gl/PExYkt #ラクチンボイス","https://goo.gl/PExYkt Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,626,213,626,0,0,0,Web/Desktop,"goo.gl ","goo.gl/PExYkt ","https://twitter.com/さのじ /status/977192128613789696",https://pbs.twimg.com/profile_images/798382944188387332/2VKnT_EF_normal.png,,,,ウコンの羽織になりたい。,,,977192128613789696
"Fri Mar 23 14:35:11 +0000 2018","さのじ ",esunohito,"お前、花粉でめちゃくちゃじゃねーか。あーもう何で俺にもっと頼らねえんだよ。いったい、俺はお前の何なんだよ。俺はお前の…花粉ラクチン クラリチン♪ goo.gl/9sneNp #ラクチンボイス","https://goo.gl/9sneNp Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,626,213,626,0,0,0,Web/Desktop,"goo.gl ","goo.gl/9sneNp ","https://twitter.com/さのじ /status/977192037937160192",https://pbs.twimg.com/profile_images/798382944188387332/2VKnT_EF_normal.png,,,,ウコンの羽織になりたい。,,,977192037937160192
"Fri Mar 23 14:35:05 +0000 2018","アンリ ",ANRSKY,"今日は外は花粉でいっぱいだから、１日、お家にいたいですって？良いですよ、じゃ、今日のクラリチンボイスはお預けですね。ああ、せっかく極上の花粉ラクチン クラリチンを用意してたのに、残念です。では、また今度。花粉ラクチン クラリチン♪ goo.gl/P6QpGJ #ラクチンボイス","https://goo.gl/P6QpGJ Twitter analytics for #ラクチンボイス","Regular Tweet",ja,0,0,0,146,189,146,0,0,0,Web/Desktop,"goo.gl ","goo.gl/P6QpGJ ","https://twitter.com/アンリ /status/977192010191794177",https://pbs.twimg.com/profile_images/959083456633356288/gJnGVb9F_normal.jpg,,,,,,,977192010191794177
"Fri Mar 23 14:33:52 +0000 2018","Aliyah 🇳🇬 ",__AliyahB,"I NEED CLARITIN",,Retweet,en,0,1,0,1011,636,781,0.0005,1,0.1,iPhone,,,"https://twitter.com/Aliyah 🇳🇬 /status/977191703412117504",https://pbs.twimg.com/profile_images/947307884441980928/kGtQQCmu_normal.jpg,aLandra.,landraaaa,,,,,977191703412117504
"Fri Mar 23 14:33:37 +0000 2018","Keirsten ",KeirstenPiotter,"really confused on how someone can be an Oklahoma weather expert.. •Monday - 76, rainy •Tuesday - 29, sunshine •Wednesday - 85 (FOR THE LOVE OF GOD TURN ON THE AC)•Thursday - 54, blizzard : 85% chance•Friday - Windy, pollen everywhere. Hello Claritin/runny noses",,"Regular Tweet",en,1,0,1,87,175,87,0,1,1.15,iPhone,,,"https://twitter.com/Keirsten /status/977191642762539008",https://pbs.twimg.com/profile_images/946823714536124417/k6xpRlW4_normal.jpg,,,,918,,,977191642762539008
